Site,Fabric,Manganese,Sodium,Lanthanum,Zinc
Amathus,Buff,1087,6310,18.92,99
Amathus,Buff,1108,9420,22.2,117
Amathus,Buff,679,8790,25.74,99
Amathus,Buff,575,9690,25.34,90
Amathus,Buff,683,7140,25.01,82
Amathus,Buff,648,10040,24.54,122
Amathus,Buff,589,10880,23.76,112
Amathus,Buff,741,8460,18.02,110
Amathus,Buff,995,15300,9.67,154
Amathus,Buff,1261,9220,20.76,125
Amathus,Drab,1051,9570,22.1,26
Amathus,Drab,970,11060,19.38,108
Amathus,Grey,1342,6250,18.75,62
Amathus,Grey,1286,11090,18.83,88
Amathus,Grey,1123,8870,21.49,120
Amathus,Grey,1211,9990,17.98,102
Amathus,Pink,988,6560,15.67,48
Amathus,Pink,1013,6540,15.61,41
Amathus,Pink,1099,15870,11.29,128
Amathus,Red,779,9020,24.47,92
Kition,Brown,591,6540,28.8,148
Kition,Brown,855,12710,22.22,135
Kition,Brown,833,12350,20.55,109
Kition,Brown,740,11050,16.57,106
Kition,Brown,763,13040,18.52,96
Kition,Buff,700,6830,25.3,99
Kition,Buff,595,6740,24.77,138
Kition,Buff,628,11390,18.11,120
Kition,Buff,718,7140,24.15,115
Kition,Buff,1150,11690,18.55,98
Kition,Buff,668,10240,18.41,106
Kition,Buff,854,15010,17.49,98
Kition,Buff,820,14050,19.6,92
Kition,Buff,774,12890,19.16,88
Kition,Buff,1024,14700,20.3,106
Kition,Buff,862,13570,18.72,100
Kition,Drab,688,11580,19.23,99
Kition,Drab,545,7570,23.95,81
Kition,Drab,613,8550,22.7,151
Kition,Drab,971,12790,19.12,105
Kition,Drab,665,10560,18.3,96
Kition,Drab,775,11600,19.3,147
Kition,Drab,954,11490,24.05,104
Kition,Drab,1118,5770,23.33,104
Kition,Drab,929,11430,18.87,100
Kition,Drab,981,17330,23.22,97
Kition,Drab,972,15010,18.16,87
Kition,Drab,910,14530,20.43,100
Kition,Grey,941,12640,20.27,106
Kition,Pink,567,5960,28.73,115
Kition,Pink,737,10120,18.15,115
Kition,Pink,781,12260,20.37,89
Kition,Pink,938,12750,20.12,89
Kition,Red,1195,10860,20.75,88
Kition,Red,732,10220,33.27,139
Kition,Red,755,10480,35.04,121
Kition,Red,821,11310,18.39,135
Kition,Red,837,14320,20.08,88
Lapithos,Brown,448,2500,11.85,47
Lapithos,Brown,546,6050,19.82,85
Lapithos,Brown,553,6630,20.25,84
Lapithos,Brown,515,5760,23.29,83
Lapithos,Brown,526,5880,19.38,76
Lapithos,Brown,535,5170,21.16,72
Lapithos,Brown,503,5880,19.36,71
Lapithos,Brown,305,3340,19.11,60
Lapithos,Brown,538,5730,18.32,50
Lapithos,Brown,527,5600,19.81,78
Lapithos,Brown,470,6060,16.74,26
Lapithos,Brown,745,9130,23.74,69
Lapithos,Brown,704,6770,29.98,277
Lapithos,Brown,954,10070,39.19,116
Lapithos,Brown,979,9610,36.58,107
Lapithos,Brown,605,8240,26.82,85
Lapithos,Brown,418,9270,26.06,126
Lapithos,Brown,788,5990,22.12,74
Lapithos,Brown,544,5250,17.82,74
Lapithos,Brown,662,4400,19.6,63
Lapithos,Brown,820,7010,30.19,104
Lapithos,Brown,801,7430,29.68,102
Lapithos,Brown,973,10800,21.35,98
Lapithos,Brown,764,6080,24.86,94
Lapithos,Brown,1363,12200,23.43,161
Lapithos,Brown,1117,11840,22.2,122
Lapithos,Brown,1210,11050,25.58,166
Lapithos,Brown,1220,11390,25.63,146
Lapithos,Brown,1147,11440,24.64,132
Lapithos,Brown,1191,9960,24.3,126
Lapithos,Brown,870,7300,18.92,91
Lapithos,Buff,700,9230,16.18,30
Lapithos,Drab,886,9310,27.21,96
Lapithos,Drab,830,4970,21.8,74
Lapithos,Drab,534,2960,16.4,112
Lapithos,Drab,617,4260,18.74,85
Lapithos,Drab,942,6140,17.52,113
Lapithos,Drab,909,11290,34.69,112
Lapithos,Pink,553,4200,20.45,86
Lapithos,Red,1153,15670,5.85,116
Lapithos,Red,850,8140,25.96,115
Palaepaphos,Brown,968,11360,17.84,124
Palaepaphos,Brown,962,10930,20.8,117
Palaepaphos,Brown,458,6460,33.97,117
Palaepaphos,Brown,1466,6950,22.29,111
Palaepaphos,Brown,687,4590,21.59,148
Palaepaphos,Brown,854,3410,29.8,103
Palaepaphos,Brown,714,11830,21.68,88
Palaepaphos,Brown,1068,7420,5.93,45
Palaepaphos,Brown,776,6220,5.51,43
Palaepaphos,Brown,828,6040,3.05,37
Palaepaphos,Buff,778,7400,20.06,94
Palaepaphos,Buff,1494,11200,18.19,150
Palaepaphos,Buff,961,10860,19.01,121
Palaepaphos,Buff,920,5980,30.07,114
Palaepaphos,Buff,998,4680,16.7,114
Palaepaphos,Buff,917,5510,31.92,113
Palaepaphos,Buff,992,5840,30.49,112
Palaepaphos,Buff,905,5870,28.39,101
Palaepaphos,Buff,933,6100,28.16,159
Palaepaphos,Buff,768,6880,22.71,98
Palaepaphos,Buff,1281,8380,22.45,117
Palaepaphos,Buff,564,5830,19.99,162
Palaepaphos,Buff,530,5740,20.7,131
Palaepaphos,Buff,630,3140,28.43,107
Palaepaphos,Buff,661,12630,18.76,77
Palaepaphos,Buff,748,10700,20.65,70
Palaepaphos,Buff,661,10490,20.09,63
Palaepaphos,Drab,1660,9510,19.65,94
Palaepaphos,Drab,969,8470,25.92,96
Palaepaphos,Drab,989,6460,30.93,173
Palaepaphos,Drab,826,10870,29.32,113
Palaepaphos,Drab,1011,2600,27.93,106
Palaepaphos,Drab,940,5210,27.08,111
Palaepaphos,Drab,938,3170,28.86,95
Palaepaphos,Drab,518,6190,19.4,138
Palaepaphos,Drab,1097,6270,25.34,119
Palaepaphos,Drab,866,5270,30.59,112
Palaepaphos,Drab,1006,5440,23.23,104
Palaepaphos,Drab,734,10060,19.64,76
Palaepaphos,Drab,655,10030,19.28,73
Palaepaphos,Grey,988,4260,23.59,84
Palaepaphos,Grey,835,5450,24.62,109
Palaepaphos,Grey,1082,3820,27.72,79
Palaepaphos,Grey,739,13280,19.85,75
Palaepaphos,Grey,729,12070,20.47,72
Palaepaphos,Grey,864,8530,5.1,53
Palaepaphos,Grey,1154,5760,9.3,44
Palaepaphos,Grey,1064,4370,7.56,25
Palaepaphos,Grey,997,4260,10.72,24
Palaepaphos,Pink,1240,3800,32.4,105
Palaepaphos,Pink,774,6230,21.55,110
Palaepaphos,Pink,818,5000,28.23,80
Palaepaphos,Pink,546,6480,23.3,122
Palaepaphos,Pink,839,9300,17.83,105
Palaepaphos,Pink,956,3270,28.68,96
Palaepaphos,Pink,1188,3450,30.37,93
Palaepaphos,Pink,656,2840,24.93,83
Palaepaphos,Pink,788,2460,29.11,100
Palaepaphos,Red,992,5320,22.9,108
Palaepaphos,Red,1233,3700,32.43,96
Palaepaphos,Red,1047,4650,34.89,114
Palaepaphos,Red,836,8750,17.51,93
Palaepaphos,Red,805,6450,20.95,144
Palaepaphos,Red,1311,5250,25.74,97
Palaepaphos,Red,488,5260,15.9,115
Palaepaphos,Red,652,9620,16.84,84
Palaepaphos,Red,571,9540,14.79,58
Palaepaphos,Red,987,10660,9.11,46
